Member ID,Name,Active Time
USLACKBOT,slackbot,away
U052C852K1D,hiroki-sato,away
U052EDN8G0N,marii-mochizuki,away
U052J5BHEBF,hiki283,active
U052M16D45R,taichi-kyogoku,active
U052M41MFU3,yusuke-miyajima,away
U052MA0STFY,232t234t,active
U052MUHALLA,shibata-takuma,away
U052ND21A1Y,ryokisikochi,active
U052PHVQBHS,genki-mizutani,away
U052PJ2J7A8,235t238t,away
U052ZKLGSGH,1994321t,active
U053JN0819S,attendance,away
